policy,seed,success,collision,timeout,n_steps,total_reward,gcr
orca,0,1,0,0,136,27.395,0.0
orca,1,1,0,0,91,30.299,0.0
orca,2,1,0,0,87,31.77,0.0
orca,3,0,1,0,36,0.023,0.0
orca,4,1,0,0,64,42.469,0.0
orca,5,1,0,0,62,36.398,0.0
orca,6,1,0,0,66,42.066,0.0
orca,7,1,0,0,57,31.178,0.0
orca,8,1,0,0,52,27.932,0.0
orca,9,1,0,0,166,68.55,0.0
orca,10,1,0,0,107,36.333,0.0
orca,11,1,0,0,98,42.272,0.0
orca,12,1,0,0,165,30.053,0.0
orca,13,1,0,0,77,43.031,0.0
orca,14,1,0,0,91,33.863,0.0
orca,15,1,0,0,67,26.693,0.0
orca,16,1,0,0,67,32.062,0.0
orca,17,1,0,0,120,46.332,0.0083
orca,18,1,0,0,85,41.469,0.0
orca,19,1,0,0,58,48.588,0.0
orca,20,1,0,0,62,33.368,0.0
orca,21,1,0,0,70,44.77,0.0
orca,22,1,0,0,170,36.905,0.0
orca,23,1,0,0,52,33.193,0.0
orca,24,1,0,0,87,57.538,0.0
orca,25,1,0,0,81,43.085,0.0
orca,26,1,0,0,81,47.235,0.0
orca,27,1,0,0,102,42.546,0.0
orca,28,1,0,0,61,31.679,0.0
orca,29,1,0,0,72,41.515,0.0
orca,30,0,1,0,68,-55.203,0.1618
orca,31,1,0,0,52,32.969,0.0
orca,32,1,0,0,53,40.007,0.0
orca,33,1,0,0,67,41.539,0.0
orca,34,1,0,0,104,50.082,0.0
orca,35,1,0,0,45,28.54,0.0
orca,36,1,0,0,64,41.0,0.0
orca,37,1,0,0,67,35.364,0.0
orca,38,1,0,0,43,28.051,0.0
orca,39,1,0,0,75,24.397,0.04
orca,40,1,0,0,130,45.445,0.0538
orca,41,1,0,0,61,24.146,0.0
orca,42,0,1,0,52,-31.012,0.0769
orca,43,1,0,0,45,38.985,0.0
orca,44,1,0,0,93,34.473,0.0108
orca,45,0,1,0,23,-10.069,0.0
orca,46,1,0,0,173,38.071,0.0
orca,47,1,0,0,114,28.946,0.0
orca,48,1,0,0,63,41.954,0.0
orca,49,1,0,0,78,32.002,0.0
orca,50,1,0,0,61,38.387,0.0
orca,51,1,0,0,59,17.357,0.0678
orca,52,1,0,0,74,40.878,0.0
orca,53,0,1,0,107,4.512,0.0
orca,54,1,0,0,56,44.948,0.0
orca,55,0,1,0,23,-4.737,0.0
orca,56,1,0,0,79,34.791,0.0
orca,57,0,1,0,165,-19.623,0.0
orca,58,1,0,0,84,8.671,0.1071
orca,59,1,0,0,88,33.171,0.0
orca,60,0,0,1,194,6.846,0.0
orca,61,1,0,0,77,41.63,0.0
orca,62,1,0,0,58,29.552,0.0
orca,63,1,0,0,135,44.417,0.0
orca,64,1,0,0,91,45.217,0.0
orca,65,1,0,0,182,42.147,0.0
orca,66,1,0,0,55,35.297,0.0
orca,67,0,0,1,194,4.197,0.0
orca,68,1,0,0,99,45.115,0.0
orca,69,1,0,0,44,27.816,0.0
orca,70,1,0,0,70,-73.493,0.3143
orca,71,1,0,0,94,46.395,0.0
orca,72,1,0,0,57,40.277,0.0702
orca,73,0,0,1,194,28.017,0.0
orca,74,1,0,0,71,37.636,0.0
orca,75,0,1,0,50,-25.67,0.08
orca,76,1,0,0,90,49.143,0.0
orca,77,1,0,0,55,47.853,0.0
orca,78,1,0,0,63,35.996,0.0
orca,79,1,0,0,48,36.488,0.0
orca,80,1,0,0,81,29.198,0.0
orca,81,1,0,0,135,26.459,0.0
orca,82,0,0,1,194,20.731,0.0
orca,83,1,0,0,66,39.623,0.0
orca,84,1,0,0,86,28.26,0.0
orca,85,1,0,0,143,32.953,0.0
orca,86,1,0,0,83,32.025,0.0
orca,87,0,0,1,194,-80.145,0.1031
orca,88,0,1,0,23,-13.453,0.0
orca,89,1,0,0,128,33.647,0.0
orca,90,1,0,0,61,-8.268,0.1311
orca,91,1,0,0,60,27.721,0.0
orca,92,1,0,0,81,31.186,0.0
orca,93,1,0,0,61,45.239,0.0
orca,94,1,0,0,80,40.004,0.0
orca,95,1,0,0,98,36.565,0.0
orca,96,1,0,0,93,29.163,0.0
orca,97,1,0,0,94,37.242,0.0
orca,98,1,0,0,81,-5.621,0.0741
orca,99,1,0,0,50,32.626,0.0
orca+taga,0,0,0,1,194,15.416,0.0
orca+taga,1,1,0,0,61,30.041,0.0
orca+taga,2,1,0,0,87,31.816,0.0
orca+taga,3,0,1,0,36,-2.017,0.0
orca+taga,4,1,0,0,56,38.899,0.0
orca+taga,5,1,0,0,68,36.361,0.0
orca+taga,6,1,0,0,79,-0.238,0.1139
orca+taga,7,1,0,0,61,39.033,0.0
orca+taga,8,1,0,0,52,27.932,0.0
orca+taga,9,1,0,0,117,51.46,0.0
orca+taga,10,1,0,0,100,36.331,0.0
